Scenario: ,2ndGroup_Of_BulkScenarios_US.scenario
Author: ,Not specified


Duration,50 m 52 s
Start Time,Wed Feb 05 12:58:30 UTC 2025
End Time,Wed Feb 05 13:55:40 UTC 2025
Total Users,28
Total Hits,1008
Total Throughput ,31724.05 KB
Average Hits,0.3303 hits/s
Average Throughput/s,10.3945 KB/s
Consumed Bandwidth,85.1518 kbps
Testcases passed,19
Testcases failed,9
Testcases error rate,32.1429
Step passed,19
Step failed,9
Step error rate %,32.1429
All durations and sizes are for successes only


Testcase name,Total Users,Active Users,Step name,Request name,Response Code,Success Count,Failure Count,Total Step,Total Request,Average Duration (sec),Standard Deviation Duration (sec),Minimum Duration (sec),Median Duration (sec),Mode Duration (sec),Duration 85 Percentile (sec),Duration 90 Percentile (sec),Duration 95 Percentile (sec),Maximum Duration (sec),Average Size (Kb),Standard Deviation Size (Kb),Minimum Size (Kb),Median Size (Kb),Mode Size (Kb),Size 85 Percentile (Kb),Size 90 Percentile (Kb),Size 95 Percentile (Kb),Maximum Size (Kb)
Productpage-Validate product Accessories Link in available Shopping Cart.ds,1,0,,,,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"",,,1) Untitled1,,,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"",,,1.1) SetFindOnlyVisible(false),,,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,1.2) Navigate to https://www.avantorsciences.com/us/en/,,,1,0,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.82,0.0,1315.82,1315.82,1315.82,1315.82,1315.82,1315.82,1315.82
"",,,,https://www.avantorsciences.com:443/hinted-Averta-Light.eb9a5f22dc065a11.ttf,,1,0,0,1,0.028,0.0,0.028,0.028,0.028,0.028,0.028,0.028,0.028,349.48,0.0,349.48,349.48,349.48,349.48,349.48,349.48,349.48
"",,,,,200,1,0,0,0,0.028,0.0,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://dpm.demdex.net:443/id?0_visid_ver=5.5.0&d_fieldgroup=MC&d_rtb_=0&d_ver=2&d_org_=0%40AdobeOrg&d_ns_=0&t_=0,,1,0,0,1,0.076,0.0,0.076,0.076,0.076,0.076,0.076,0.076,0.076,1.95,0.0,1.95,1.95,1.95,1.95,1.95,1.95,1.95
"",,,,,200,1,0,0,0,0.076,0.0,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://www.avantorsciences.com:443/hinted-Averta-Bold.f7ded5da4c1f946a.ttf,,1,0,0,1,0.038,0.0,0.038,0.038,0.038,0.038,0.038,0.038,0.038,363.12,0.0,363.12,363.12,363.12,363.12,363.12,363.12,363.12
"",,,,,200,1,0,0,0,0.038,0.0,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://www.avantorsciences.com:443/117.04064d6de1c2941c.js,,1,0,0,1,0.023,0.0,0.023,0.023,0.023,0.023,0.023,0.023,0.023,13.73,0.0,13.73,13.73,13.73,13.73,13.73,13.73,13.73
"",,,,,200,1,0,0,0,0.023,0.0,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
