Scenario: ,2ndGroup_Of_BulkScenarios_US.scenario
Author: ,Not specified


Duration,57 m 8 s
Start Time,Sat Feb 08 02:18:11 UTC 2025
End Time,Sat Feb 08 03:21:10 UTC 2025
Total Users,28
Total Hits,772
Total Throughput ,24511.97 KB
Average Hits,0.2252 hits/s
Average Throughput/s,7.1505 KB/s
Consumed Bandwidth,58.577 kbps
Testcases passed,15
Testcases failed,13
Testcases error rate,46.4286
Step passed,15
Step failed,13
Step error rate %,46.4286
All durations and sizes are for successes only


Testcase name,Total Users,Active Users,Step name,Request name,Response Code,Success Count,Failure Count,Total Step,Total Request,Average Duration (sec),Standard Deviation Duration (sec),Minimum Duration (sec),Median Duration (sec),Mode Duration (sec),Duration 85 Percentile (sec),Duration 90 Percentile (sec),Duration 95 Percentile (sec),Maximum Duration (sec),Average Size (Kb),Standard Deviation Size (Kb),Minimum Size (Kb),Median Size (Kb),Mode Size (Kb),Size 85 Percentile (Kb),Size 90 Percentile (Kb),Size 95 Percentile (Kb),Maximum Size (Kb)
Orders-Verify if Order Details are displayed upon clicking order number link in Orders Page.ds,1,0,,,,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"",,,1) Untitled1,,,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"",,,1.1) SetFindOnlyVisible(false),,,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,1.2) Navigate to https://www.avantorsciences.com/us/en/,,,1,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.42,0.0,64.42,64.42,64.42,64.42,64.42,64.42,64.42
"",,,,https://dpm.demdex.net:443/id?0_visid_ver=5.5.0&d_fieldgroup=MC&d_rtb_=0&d_ver=2&d_org_=0%40AdobeOrg&d_ns_=0&t_=0,,1,0,0,1,0.071,0.0,0.071,0.071,0.071,0.071,0.071,0.071,0.071,1.95,0.0,1.95,1.95,1.95,1.95,1.95,1.95,1.95
"",,,,,200,1,0,0,0,0.071,0.0,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://www.avantorsciences.com:443/117.75662eb449a7b064.js,,1,0,0,1,0.022,0.0,0.022,0.022,0.022,0.022,0.022,0.022,0.022,13.92,0.0,13.92,13.92,13.92,13.92,13.92,13.92,13.92
"",,,,,200,1,0,0,0,0.022,0.0,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://www.avantorsciences.com:443/358.7a5639e78c022894.js,,1,0,0,1,0.058,0.0,0.058,0.058,0.058,0.058,0.058,0.058,0.058,3.21,0.0,3.21,3.21,3.21,3.21,3.21,3.21,3.21
"",,,,,200,1,0,0,0,0.058,0.0,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://www.avantorsciences.com:443/675.0f27e824a6294067.js,,1,0,0,1,0.065,0.0,0.065,0.065,0.065,0.065,0.065,0.065,0.065,21.82,0.0,21.82,21.82,21.82,21.82,21.82,21.82,21.82
"",,,,,200,1,0,0,0,0.065,0.0,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://www.avantorsciences.com:443/assets/images/avantor-icon/Avantor-favicon.ico,,1,0,0,1,0.032,0.0,0.032,0.032,0.032,0.032,0.032,0.032,0.032,2.4,0.0,2.4,2.4,2.4,2.4,2.4,2.4,2.4
