Scenario: ,1stGroup_of_BukScenarios_CA.scenario
Author: ,Not specified


Duration,15 m 50 s
Start Time,Thu Feb 13 14:24:16 UTC 2025
End Time,Thu Feb 13 14:43:02 UTC 2025
Total Users,18
Total Hits,553
Total Throughput ,22145.46 KB
Average Hits,0.5821 hits/s
Average Throughput/s,23.311 KB/s
Consumed Bandwidth,190.9638 kbps
Testcases passed,15
Testcases failed,3
Testcases error rate,16.6667
Step passed,15
Step failed,3
Step error rate %,16.6667
All durations and sizes are for successes only


Testcase name,Total Users,Active Users,Step name,Request name,Response Code,Success Count,Failure Count,Total Step,Total Request,Average Duration (sec),Standard Deviation Duration (sec),Minimum Duration (sec),Median Duration (sec),Mode Duration (sec),Duration 85 Percentile (sec),Duration 90 Percentile (sec),Duration 95 Percentile (sec),Maximum Duration (sec),Average Size (Kb),Standard Deviation Size (Kb),Minimum Size (Kb),Median Size (Kb),Mode Size (Kb),Size 85 Percentile (Kb),Size 90 Percentile (Kb),Size 95 Percentile (Kb),Maximum Size (Kb)
Advance Search-AdvanceSearch_Molecularweight.ds,1,0,,,,1,0,9,30,6.384,0.0,6.384,6.384,6.384,6.384,6.384,6.384,6.384,1307.78,0.0,1307.78,1307.78,1307.78,1307.78,1307.78,1307.78,1307.78
"",,,1) Untitled1,,,1,0,9,30,6.384,0.0,6.384,6.384,6.384,6.384,6.384,6.384,6.384,1307.78,0.0,1307.78,1307.78,1307.78,1307.78,1307.78,1307.78,1307.78
"",,,1.1) Navigate to https://www.avantorsciences.com/ca/en/,,,1,0,1,18,0.701,0.0,0.701,0.701,0.701,0.701,0.701,0.701,0.701,1166.46,0.0,1166.46,1166.46,1166.46,1166.46,1166.46,1166.46,1166.46
"",,,,https://www.avantorsciences.com:443/hinted-Averta-Light.eb9a5f22dc065a11.ttf,,1,0,0,1,0.046,0.0,0.046,0.046,0.046,0.046,0.046,0.046,0.046,349.26,0.0,349.26,349.26,349.26,349.26,349.26,349.26,349.26
"",,,,,200,1,0,0,0,0.046,0.0,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://dpm.demdex.net:443/id?0_visid_ver=5.5.0&d_fieldgroup=MC&d_rtb_=0&d_ver=2&d_org_=0%40AdobeOrg&d_ns_=0&t_=0,,1,0,0,1,0.112,0.0,0.112,0.112,0.112,0.112,0.112,0.112,0.112,1.95,0.0,1.95,1.95,1.95,1.95,1.95,1.95,1.95
"",,,,,200,1,0,0,0,0.112,0.0,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://www.avantorsciences.com:443/hinted-Averta-Bold.f7ded5da4c1f946a.ttf,,1,0,0,1,0.044,0.0,0.044,0.044,0.044,0.044,0.044,0.044,0.044,362.71,0.0,362.71,362.71,362.71,362.71,362.71,362.71,362.71
"",,,,,200,1,0,0,0,0.044,0.0,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://www.avantorsciences.com:443/675.0f27e824a6294067.js,,1,0,0,1,0.027,0.0,0.027,0.027,0.027,0.027,0.027,0.027,0.027,21.08,0.0,21.08,21.08,21.08,21.08,21.08,21.08,21.08
